	key	val
700	P26583_tran	HMGB2
701	P51991_tran	HNRNPA3
702	Q9H0S4_tran	DDX47
703	O15126_tran	SCAMP1
704	Q8IZL8_tran	PELP1
705	P11233_tran	RALA
706	P67870_tran	CSNK2B
707	Q16890_tran	TPD52L1
708	P60866_tran	RPS20
709	Q9UK76_tran	HN1_ JPT1
710	P06744_tran	GPI
711	P20618_tran	PSMB1
712	Q16795_tran	NDUFA9
713	Q9NRX2_tran	MRPL17
714	Q9H2M9_tran	RAB3GAP2
715	Q9BWD1_tran	ACAT2
716	Q9UG63_tran	ABCF2
717	Q9H3P7_tran	ACBD3
718	Q15738_tran	NSDHL
719	Q9HC36_tran	RNMTL1_ MRM3
720	Q9NPA0_tran	EMC7
721	O95864_tran	FADS2
722	Q9H4A4_tran	RNPEP
723	Q8N6T3_tran	ARFGAP1
724	Q16630_tran	CPSF6
725	Q05682_tran	CALD1
726	P51553_tran	IDH3G
727	Q9BTW9_tran	TBCD
728	Q96A49_tran	SYAP1
729	Q8N183_tran	NDUFAF2
730	Q969H8_tran	C19orf10_ MYDGF
731	Q9P2X0_tran	DPM3
732	Q96KP4_tran	CNDP2
733	Q13838_tran	DDX39B
734	Q9H4G0_tran	EPB41L1
735	P43307_tran	SSR1
736	Q8NBP7_tran	PCSK9
737	P29144_tran	TPP2
738	Q13131_tran	PRKAA1
739	Q6DD88_tran	ATL3
740	P14868_tran	DARS
741	Q9Y281_tran	CFL2
742	Q13257_tran	MAD2L1
743	Q13200_tran	PSMD2
744	Q9C0E2_tran	XPO4
745	Q9NZ08_tran	ERAP1
746	Q96KR1_tran	ZFR
747	P78537_tran	BLOC1S1
748	Q9UQ35_tran	SRRM2
749	Q9NUQ6_tran	SPATS2L
750	O60841_tran	EIF5B
751	P63208_tran	SKP1
752	Q9UGV2_tran	NDRG3
753	Q9UNN8_tran	PROCR
754	P07384_tran	CAPN1
755	Q8TEQ6_tran	GEMIN5
756	Q9NY33_tran	DPP3
757	P54136_tran	RARS
758	Q9Y3B7_tran	MRPL11
759	P51692_tran	STAT5B
760	P15531_tran	NME1
761	P08240_tran	SRPR_ SRPRA
762	P46781_tran	RPS9
763	Q92841_tran	DDX17
764	Q9NRX4_tran	PHPT1
765	Q5VYK3_tran	KIAA0368
766	Q9BQ52_tran	ELAC2
767	Q14203_tran	DCTN1
768	P28370_tran	SMARCA1
769	Q8IXH7_tran	NELFCD_ TH1L
770	Q9H9J2_tran	MRPL44
771	Q9NX46_tran	ADPRHL2
772	Q9H490_tran	PIGU
773	Q9UL25_tran	RAB21
774	Q9UGP8_tran	SEC63
775	Q15257_tran	PPP2R4_ PTPA
776	Q6YHK3_tran	CD109
777	Q96DH6_tran	MSI2
778	Q92499_tran	DDX1
779	P50395_tran	GDI2
780	P04179_tran	P04179_tran
781	Q9NUJ1_tran	ABHD10
782	O75431_tran	MTX2
783	O95218_tran	ZRANB2
784	Q9H4F8_tran	SMOC1
785	O95336_tran	PGLS
786	P62841_tran	RPS15
787	Q9HAV7_tran	GRPEL1
788	P19388_tran	POLR2E
789	P05204_tran	HMGN2
790	P06756_tran	ITGAV
791	P84090_tran	ERH
792	P62424_tran	RPL7A
793	Q16891_tran	IMMT
794	O60524_tran	NEMF
795	Q9BQE5_tran	APOL2
796	Q9BRK5_tran	SDF4
797	P67936_tran	TPM4
798	Q7Z3B1_tran	NEGR1
799	Q9Y570_tran	PPME1
800	Q02252_tran	ALDH6A1
801	Q9NZN4_tran	EHD2
802	P51812_tran	RPS6KA3
803	Q14641_tran	INSL4
804	P51798_tran	CLCN7
805	Q01658_tran	DR1
806	P28340_tran	POLD1
807	Q03154_tran	ACY1
808	Q8NBX0_tran	SCCPDH
809	P57088_tran	TMEM33
810	P61009_tran	SPCS3
811	Q9HD15_tran	SRA1
812	Q9HD26_tran	GOPC
813	Q04760_tran	GLO1
814	P46779_tran	RPL28
815	O00461_tran	GOLIM4
816	Q9NYP7_tran	ELOVL5
817	Q8WU90_tran	ZC3H15
818	Q9Y6B6_tran	SAR1B
819	Q9H0U3_tran	MAGT1
820	Q96N66_tran	MBOAT7
821	Q92769_tran	HDAC2
822	P61106_tran	RAB14
823	Q96J01_tran	THOC3
824	Q5RI15_tran	COX20
825	O43324_tran	EEF1E1
826	Q16401_tran	PSMD5
827	P29590_tran	PML
828	P36871_tran	PGM1
829	O00170_tran	AIP
830	Q13526_tran	PIN1
831	Q9NQW6_tran	ANLN
832	P30044_tran	PRDX5
833	P21283_tran	ATP6V1C1
834	Q13595_tran	TRA2A
835	Q9Y6D9_tran	MAD1L1
836	P08134_tran	RHOC
837	Q969S3_tran	ZNF622
838	O75367_tran	H2AFY
839	Q9NQ88_tran	C12orf5_ TIGAR
840	Q96IX5_tran	USMG5
841	Q9Y3D9_tran	MRPS23
842	Q14165_tran	MLEC
843	P04632_tran	CAPNS1
844	P28062_tran	PSMB8
845	P15104_tran	GLUL
846	O15143_tran	ARPC1B
847	Q9H479_tran	FN3K
848	P11388_tran	TOP2A
849	Q9H0D6_tran	XRN2
850	Q14126_tran	DSG2
851	Q14847_tran	LASP1
852	Q9P021_tran	CRIPT
853	Q06323_tran	PSME1
854	O43402_tran	EMC8
855	P19224_tran	UGT1A6
856	Q5H9R7_tran	PPP6R3
857	O43747_tran	AP1G1
858	Q9HCE1_tran	MOV10
