index	name	annotation	Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
Q9NRX1			1.55022508590106	0.24362248094406602	-0.636613668539021	-0.33965579697716497	0.9022031252017809	-0.768784414102519	-1.5554046613053998	0.0315363211848793	True	False	False	False	False	False	False	False	False	Control_10h	#388ECC	-0.0410237270539731
O00762			-0.565206033884636	2.39298760127314	0.273896038314897	-0.14848730901641502	-0.24667704723603898	-1.02494224152776	0.0831733932806574	-0.363726381897647	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.0423609541090555
Q9UPN7			-0.553217229541784	-0.34100723714143893	-0.36375708480710206	-0.48022789201033794	-0.151474871859808	2.99434377499565	-0.42201264319526893	-0.45663404977055894	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.0428994269739527
Q6PL18			-1.10350535005806	2.30704829005807	0.32112017620194605	-0.5764742095307961	-0.6048723168796271	0.39338292527808794	-0.16294804538865498	-0.5776251981873131	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.0440726477636271
P05787	Keratin		-0.28464961558339197	-0.7604685827674829	-0.526158296395197	0.0849496549032124	0.137083192363226	2.3059464568299104	-0.681906875128378	-0.467752280291006	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.0577103286718935
Q8WVM7			-0.250386495811498	-0.35484615753059096	-0.25710626578678397	-0.29676453180588896	-0.173554131031728	1.87221400542702	-0.298007580040055	-0.263254798365269	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.0579926897601831
P46060			-0.735897034894829	0.0308947115778949	0.155671190121839	-0.8460310665088421	-0.0468160660702485	2.4670904329759	-0.21651894976685895	-0.49845629763491794	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.0656522814070741
Q14240			0.7322239885911072	0.7753774524114521	-1.24253232998553	0.0115050416791271	1.3989456109594098	-0.122675810915021	-1.2980331245991799	-0.27608354708198	False	False	False	False	True	False	False	False	False	Virus_10h	#CC79A7	-0.0714812514464891
Q13112			-0.5627501116932939	1.5454347825468	0.6198341146735401	-1.28633801128816	-0.21901234746906798	-0.18927445506306897	0.181546623700391	-0.33194864873788105	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.0735402093536702
O60506			-0.920813398529736	-0.799588087671638	0.390286256879129	-0.34731229276413894	-0.018137617036323998	2.16630004184375	-0.37713357239866396	-0.502814548917466	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.0751219327377685
